1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
2,Operating,Silver,Platter,Doppelmayr,1973-,756,201,1573,,476,,4,Bottom,Top,3.3,,panorama-bc/
3,Operating,Mile 1 Express,High Speed Quad,Doppelmayr,1988-,2400,1247,4593,500,1000,78,16,Top,Top,4.6,,panorama-bc/
4,Operating,Village Gondola,Pulse Cabriolet 8,Doppelmayr,1999-,870,130,710,161,590,6,7,Bottom,Bottom,1.2,,panorama-bc/
5,Operating,Toby,Double,Doppelmayr,1978-,1400,407,1672,,470,84,7,Bottom,Bottom,3.6,,panorama-bc/
6,Operating,Sunbird,Triple,Doppelmayr,1980-,1700,1364,4036,,453,160,17,Top,Bottom,8.9,,panorama-bc/
7,Operating,Champagne Express,High Speed Quad,Doppelmayr CTEC,2003-,2400,2062,6347,800,984,100,18,Top,Bottom,6.5,,panorama-bc/
8,Operating,Summit,Quad,Doppelmayr CTEC,2003-,1200,922,2923,160,453,54,11,Bottom,Bottom,6.5,,panorama-bc/
9,Operating,Discovery,Quad,Doppelmayr,2014-,1000,165,812,150,400,56,11,Top,Bottom,2,,panorama-bc/
10,Removed,Champagne,T-Bar,Doppelmayr,1984-2003,902,643,2398,168,590,62,,Bottom,Top,,,panorama-bc/
11,Removed,Summit,T-Bar,Doppelmayr,1993-2003,1200,650,2133,20,590,28,,Bottom,Top,3.6,Relocated,panorama-bc/
12,Removed,T-Bar,T-Bar,,1969-1988,1000,1243,4715,,787,105,,Bottom,Top,,,panorama-bc/
13,Removed,Horizon,Double,Doppelmayr,1975-2003,1000,1586,4620,,500,,,Bottom,Bottom,9.2,,panorama-bc/
2,Operating,CTEC 1,Triple,CTEC,1982-,1600,254,1419,,450,57,7,Top,Bottom,3.2,,paoli-peaks-in/
3,Operating,CTEC 2,Triple,CTEC,1985-,1800,240,1140,,450,,5,Bottom,Bottom,2.5,,paoli-peaks-in/
4,Operating,Double,Double,Hall,,,,,,,25,3,Bottom,Bottom,,,paoli-peaks-in/
5,Operating,Quad,Quad,Hall,1978-,2400,266,1465,,370,81,12,Top,Bottom,4,,paoli-peaks-in/
6,Operating,Triple,Triple,Hall,1979-,1800,277,1633,,460,73,11,Top,Bottom,3.6,,paoli-peaks-in/
2,Operating,Skyride,Pulse Gondola 12,Doppelmayr,1994-,360,662,2215,400,590,6,8,Bottom,Top,5,,paradise-point-vi/
3,Removed,Gondola,Pulse Gondola,Poma,1963-1974,,,,,,,,,,,,paradise-point-vi/
2,Operating,A,T-Bar,Samson,1973-,1200,220,1335,,450,,7,Bottom,Top,3,,parc-du-mont-comi-qc/
3,Operating,B,Double,Doppelmayr,1984-,1200,670,2500,,480,,9,Bottom,Bottom,5.2,,parc-du-mont-comi-qc/
4,Operating,C,Quad,Samson,2008-,,,,,,,15,Bottom,Bottom,,"Relocated from Crapaudi̬re, QC",parc-du-mont-comi-qc/
5,Operating,D,Platter,Poma,1978-,800,595,2015,,650,,14,Bottom,Top,3.1,Has a turn,parc-du-mont-comi-qc/
6,Removed,C,Double,Samson,1973-2008,1200,754,3200,,466,,,,,6.9,,parc-du-mont-comi-qc/
2,Operating,3 Kings,Triple,Doppelmayr,2011-,1800,439,2176,150,500,,,Top,Bottom,4.4,,park-city-ut/
3,Operating,Bonanza Express,High Speed Six,Garaventa CTEC,1997-,3000,1122,5318,700,1000,,17,Top,Bottom,5.3,,park-city-ut/
4,Operating,Cabriolet,Cabriolet 8,Garaventa CTEC,2000-,3000,193,2705,300,800,,,Bottom,Top,3.4,,park-city-ut/
5,Operating,Crescent Express,High Speed Quad,Doppelmayr CTEC,2008-,2400,1743,7200,800,1000,,24,Top,Bottom,7.2,,park-city-ut/
6,Operating,Day Break,Triple,Yan,2001-,,,,,,,,Top,Bottom,,"Relocated from Deer Valley, UT. Has Garaventa CTEC towerheads",park-city-ut/
7,Operating,Dreamcatcher,Quad,Doppelmayr CTEC,2006-,1800,1533,4619,400,475,,18,Top,Bottom,9.7,,park-city-ut/
8,Operating,Dreamscape,Quad,Garaventa CTEC,2000-,,,,,,,,Bottom,Bottom,,Relocated from Raptor,park-city-ut/
9,Operating,Eagle,Triple,Garaventa CTEC,1993-,1200,1155,2515,300,500,,18,Top,Bottom,5,Midstation,park-city-ut/
10,Operating,First Time Express,High Speed Quad,Doppelmayr CTEC,2004-,2400,276,1823,300,1000,,9,Top,Bottom,1.8,,park-city-ut/
11,Operating,Flat Iron,Double,Thiokol,2009-,1200,4,1641,175,500,102,17,Bottom,Bottom,3.3,"Relocated from Solitude, UT. 2 Midstations",park-city-ut/
12,Operating,Frostwood Gondola,Pulse Gondola 6,Doppelmayr CTEC,2008-,460,166,1963,150,800,6,7,Bottom,Bottom,2.5,,park-city-ut/
13,Operating,High Meadow Express,High Speed Quad,Doppelmayr,2018-,2000,278,1965,181,1000,37,8,Bottom,Top,2,,park-city-ut/
14,Operating,Iron Mountain Express,High Speed Quad,Doppelmayr CTEC,2010-,2400,1484,5181,600,1000,,18,Top,Bottom,5.2,,park-city-ut/
15,Operating,Jupiter,Double,Yan,1976-,1200,1000,3315,,500,,,Bottom,Bottom,6.6,,park-city-ut/
16,Operating,King Con Express,High Speed Six,Doppelmayr,2015-,3400,1216,4438,700,1000,,,Top,Bottom,4.4,,park-city-ut/
17,Operating,McConkey's Express,High Speed Six,Garaventa CTEC,1998-,2400,1172,5260,700,1000,,19,Top,Bottom,5.3,,park-city-ut/
18,Operating,Motherlode Express,High Speed Quad,Garaventa CTEC,2015-,,,,,,,,,,,Relocated from King Con,park-city-ut/
19,Operating,Ninety Nine 90 Express,High Speed Quad,Garaventa CTEC,1998-,2400,1563,6680,700,1070,,21,Bottom,Top,6.2,,park-city-ut/
20,Operating,Orange Bubble Express,High Speed Quad,Doppelmayr CTEC,2010-,2400,1523,8709,1020,1000,,30,Top,Bottom,8.7,Midstation and bubbles,park-city-ut/
21,Operating,Over and Out,Quad,Skytrac,2019-,1800,278,2412,125,450,83,14,Top,Top,5.4,,park-city-ut/
22,Operating,Payday Express,High Speed Six,Garaventa CTEC,1997-,3000,1278,5726,700,1000,,25,Top,Bottom,5.7,,park-city-ut/
23,Operating,Peak 5,Quad,Garaventa CTEC,1999-,1700,1038,2815,250,465,,13,Bottom,Bottom,6.1,,park-city-ut/
24,Operating,Pioneer,Triple,CTEC,1984-,1800,968,3720,300,500,,,Top,Bottom,7.4,,park-city-ut/
25,Operating,Quicksilver Gondola,Gondola 8,Doppelmayr,2015-,1500,1686,7767,690,1000,,,Top,Bottom,7.8,,park-city-ut/
26,Operating,Red Pine Gondola,Gondola 8,Poma,1997-,2800,1119,6679,700,1000,58,,Top,Bottom,6.7,,park-city-ut/
27,Operating,Saddleback Express,High Speed Quad,Garaventa CTEC,1997-,2800,1121,4269,600,1000,,17,Bottom,Top,4.3,,park-city-ut/
28,Operating,Short Cut,Triple,Yan,1997-,,,,,,,,Top,Bottom,,Relocated from Steamboat. Previously called Lookout,park-city-ut/
29,Operating,Silverlode Express,High Speed Six,Garaventa CTEC,1996-2022,3000,1322,5370,700,984,,17,Top,Bottom,5.5,,park-city-ut/
30,Operating,Silverstar,Triple,Garaventa CTEC,2006-,,,,,,,13,Top,Bottom,,Relocated from First Time,park-city-ut/
31,Operating,Sun Peak Express,High Speed Quad,Doppelmayr,1997-,2800,1087,3729,600,1000,,,Top,Bottom,3.7,Previously called Snow Canyon Express,park-city-ut/
32,Operating,Sunrise,Double,Garaventa CTEC,2003-,,,,150,,,,Top,Bottom,,"Relocated from Red Hawk, quad chairs replaced with double chairs",park-city-ut/
33,Operating,Super Condor Express,High Speed Quad,Garaventa CTEC,1998-,2650,1798,6910,800,1070,,20,Top,Bottom,6.5,,park-city-ut/
34,Operating,Thaynes,Double,Yan,1975-,1200,850,2800,,500,,,Top,Bottom,5.6,,park-city-ut/
35,Operating,Timberline,Quad,Doppelmayr CTEC,2008-,2400,360,2229,150,450,,13,Bottom,Top,5,,park-city-ut/
36,Operating,Tombstone Express,High Speed Six,Doppelmayr CTEC,2006-,3200,1734,6566,1000,1000,,22,Top,Bottom,6.6,,park-city-ut/
37,Operating,Town,Triple,CTEC,1985-,1800,1232,6665,300,500,,,Top,Top,13.3,,park-city-ut/
38,Removed,Arrowhead,Double,Riblet,1968-1997,1200,947,3224,,500,,,,,6.4,,park-city-ut/
39,Removed,Condor,Double,Riblet,1968-1998,800,1971,6656,,500,,,,,13.3,Also called Ironhorse,park-city-ut/
40,Removed,Crescent,Quad,Yan,1989-,1800,870,2600,250,450,,,,,5.8,,park-city-ut/
41,Removed,Crescent,Double,SLI,1971-1989,1200,864,2452,,500,,,,,4.9,,park-city-ut/
42,Removed,Eaglet,Triple,Garaventa CTEC,1995-2021,600,255,1355,50,500,,5,Bottom,Bottom,2.7,,park-city-ut/
43,Removed,First Time,Triple,Garaventa CTEC,1994-2004,1800,313,2010,150,340,,,Top,Bottom,5.9,,park-city-ut/
44,Removed,First Time,Double,SLI,1972-1994,1000,220,1423,30,400,,,,,3.6,,park-city-ut/
45,Removed,Golden Eagle,Double,Riblet,1968-2010,1080,1400,4975,,500,,,Top,Bottom,10,Previously called Tomahawk,park-city-ut/
46,Removed,Gondola - Stage 1,Gondola 4,PHB,1963-1997,800,1200,6950,,682,,,,,10.2,,park-city-ut/
47,Removed,Gondola - Stage 2,Gondola 4,PHB,1963-1997,800,1065,5650,,682,,,,,8.3,,park-city-ut/
48,Removed,High Meadow,Quad,Garaventa CTEC,1997-2018,2000,310,1991,125,375,,11,Bottom,Bottom,5.3,,park-city-ut/
49,Removed,King Con,High Speed Quad,Garaventa CTEC,1993-2015,2800,1190,4420,600,1000,,15,Top,Bottom,4.4,,park-city-ut/
50,Removed,King Consolidated,Triple,Thiokol,1973-1993,1500,1245,4960,,500,,,,,9.9,,park-city-ut/
51,Removed,Lost Prospector,Double,SLI,1971-1989,1200,1338,5797,,500,,,,,11.6,,park-city-ut/
52,Removed,Motherlode,Triple,Yan,1980-2015,1800,1249,5492,400,500,,,Top,Bottom,11,,park-city-ut/
53,Removed,Payday,Triple,Yan,1981-1997,2000,1281,5940,,500,,,,,11.9,,park-city-ut/
54,Removed,Payday,Double,SLI,1971-1981,1200,1286,6050,,500,,,,,12.1,,park-city-ut/
55,Removed,Prospector,High Speed Quad,Yan,1989-1996,2800,1304,5287,752,900,,,,,5.9,,park-city-ut/
56,Removed,Prospector,Double,Yan,1974-1989,1000,1295,5630,,550,,,,,10.2,,park-city-ut/
57,Removed,Prospector,Double,Stearns-Roger,1963-1974,900,1307,5940,,550,,,,,,,park-city-ut/
58,Removed,Platter,Platter,Doppelmayr,1997-,,,,,,,,Bottom,Top,,,park-city-ut/
59,Removed,Raptor,Quad,Garaventa CTEC,1997-2000,,,,700,,,,Bottom,Bottom,,Relocated from Saddleback,park-city-ut/
60,Removed,Red Hawk,Quad,Garaventa CTEC,1996-2003,1850,544,2688,150,,,,,,,,park-city-ut/
61,Removed,Saddleback,Quad,Garaventa CTEC,1996-1997,2200,1130,4651,700,450,,,,,10.3,,park-city-ut/
62,Removed,Short Swing,Double,SLI,1969-1997,950,901,2581,,400,,,,,6.5,,park-city-ut/
63,Removed,Silver King,J-Bar,Stearns-Roger,1963-,,100,1600,,,,,,,,,park-city-ut/
64,Removed,Ski Team,Double,Yan,1976-2008,1200,1595,6035,250,525,176,19,Top,Bottom,11.5,Previously named Victoria Station,park-city-ut/
65,Removed,Slaughterhouse,Double,Hall,1970-1997,1000,943,2933,,465,,,,,6.3,,park-city-ut/
66,Removed,Tenderfoot,J-Bar,Stearns-Roger,1963-,,150,1500,,,,,,,,,park-city-ut/
67,Removed,Three Kings,Double,SLI,1970-2011,1000,465,2620,,450,,,Bottom,Bottom,5.8,,park-city-ut/
68,Removed,Tombstone Express,High Speed Quad,Poma,1997-2006,2800,1731,6635,800,1100,,,Top,Bottom,6,,park-city-ut/
69,Removed,Tumbleweed,Double,SLI,1969-1997,800,330,1470,,400,,,,,3.7,,park-city-ut/
70,Removed,Thaynes Canyon,Double,Stearns-Roger,1964-1975,800,900,3000,,,,,,,,,park-city-ut/
71,Removed,,Platter,Poma,1974-,718,1284,3550,,,,,,,,,park-city-ut/
2,Operating,Lower,T-Bar,Doppelmayr,1980-,727,426,1811,,571,30,8,Bottom,Top,3.2,3 towers added in 2020,pass-powderkeg-ab/
3,Operating,Upper,T-Bar,Doppelmayr,1983-,1150,617,1971,,580,30,6,Bottom,Top,3.4,,pass-powderkeg-ab/
2,Operating,Cascade Basin,Triple,Hall,2013-,,,,,,,10,Bottom,Bottom,,"Relocated from Osler Bluff, ON",pats-peak-nh/
3,Operating,Gusty,J-Bar,Hall,,,,,,,,6,Bottom,Top,,,pats-peak-nh/
4,Operating,Hurricane,Triple,Borvig,1977-,1800,677,2888,,450,,17,Bottom,Bottom,6.4,,pats-peak-nh/
5,Operating,Peak,Triple,CTEC,2017-,,,,,,,15,Bottom,Bottom,,"Relocated from Ascutney, VT",pats-peak-nh/
6,Operating,Turbulence,Triple,Partek,2003-,1500,359,2097,250,425,,12,Bottom,Bottom,4.9,,pats-peak-nh/
7,Operating,Valley,Double,Mueller,1969-,1200,329,2350,,400,,9,Bottom,Bottom,5.9,,pats-peak-nh/
8,Operating,Vortex,Double,Hall,1998-,,,,,,,12,Bottom,Bottom,,Relocated from Norwich University,pats-peak-nh/
9,Removed,,T-Bar,Mueller,1963-,1000,250,1900,,,,,,,,,pats-peak-nh/
10,Removed,Peak,Double,Mueller,-2017,,,,,,,,Bottom,Bottom,,,pats-peak-nh/
2,Operating,T-Bar,T-Bar,Hall,1967-,1200,116,815,,450,,5,Bottom,Top,1.8,,paul-bunyan-wi/
2,Operating,Skyline,Triple,Yan,2001-,,,,,,116,20,Bottom,Bottom,,,pebble-creek-id/
3,Operating,Sunshine,Triple,CTEC,1980-,1400,1145,3035,,460,95,14,Bottom,Bottom,6.6,,pebble-creek-id/
4,Operating,Aspen,Triple,Yan,1984-,,,,,,66,10,Top,Bottom,,Relocated from Mammoth. Converted from a double to triple in 2007,pebble-creek-id/
5,Removed,Double,Double,Telecar,1966-2001,700,1635,4500,,500,,,Bottom,Bottom,9,,pebble-creek-id/
6,Removed,,Platter,Poma,1964-,300,300,1135,,,,,,,,,pebble-creek-id/
2,Operating,Chair 1,Triple,CTEC,1989-,1800,310,2002,100,350,,8,Bottom,Bottom,5.7,Shared towers with 2,peekn-peak-ny/
3,Operating,Chair 2,Triple,CTEC,1989-,1800,310,2002,100,350,,8,Bottom,Bottom,5.7,Shared towers with 1,peekn-peak-ny/
4,Operating,Chair 3,Triple,CTEC,1989-,1800,292,1990,100,350,,9,Bottom,Bottom,5.7,,peekn-peak-ny/
5,Operating,Chair 4,Double,CTEC,1989-,1000,97,650,30,350,,3,Bottom,Bottom,1.9,Shared towers with 5,peekn-peak-ny/
6,Operating,Chair 5,Double,CTEC,1989-,1000,63,480,30,350,,2,Bottom,Bottom,1.4,Shared towers with 4,peekn-peak-ny/
7,Operating,Chair 6,Triple,CTEC,1986-,1800,341,1950,100,400,,8,Bottom,Bottom,4.9,Shared towers with 7,peekn-peak-ny/
8,Operating,Chair 7,Triple,CTEC,1986-,1800,341,1950,100,400,,8,Bottom,Bottom,4.9,Shared towers with 6,peekn-peak-ny/
9,Operating,Chair 8,Triple,CTEC,1987-,1800,295,1475,100,400,,5,Bottom,Bottom,3.7,,peekn-peak-ny/
10,Removed,,J-Bar,Hall,1970-,600,72,612,,275,,,,,2.2,,peekn-peak-ny/
11,Removed,,Double,Hall,1968-,1100,313,1961,,480,,,,,4.1,,peekn-peak-ny/
12,Removed,,Double,Hall,1971-,1200,283,1984,,480,,,,,4.1,,peekn-peak-ny/
13,Removed,,Double,Hall,1969-,1100,301,1455,,480,,,,,3,,peekn-peak-ny/
14,Removed,,T-Bar,Hall,1965-,1100,330,2047,,450,,,,,4.5,,peekn-peak-ny/
15,Removed,,J-Bar,Hall,1964-,600,82,610,,,,,,,,,peekn-peak-ny/
16,Removed,,T-Bar,Hall,1964-,1100,330,2047,,,,,,,,,peekn-peak-ny/
2,Operating,Blue,Triple,Riblet,1985-,1800,98,742,,300,42,7,Bottom,Bottom,2.5,,perfect-north-slopes-in/
3,Operating,Green,Triple,Riblet,1984-,1800,132,630,,315,50,6,Bottom,Bottom,2,,perfect-north-slopes-in/
4,Operating,Orange,Quad,Riblet,1997-,2400,364,1652,125,350,97,11,Bottom,Bottom,4.7,,perfect-north-slopes-in/
5,Operating,Red,Triple,Riblet,1987-,1800,352,1400,100,300,89,12,Bottom,Bottom,4.7,,perfect-north-slopes-in/
6,Operating,White,Quad,Riblet,1994-,2400,361,1730,125,350,74,12,Bottom,Bottom,4.9,,perfect-north-slopes-in/
2,Operating,2,T-Bar,Mueller,1963-,660,345,1450,,,,5,Bottom,Top,,,petit-chamonix-qc/
3,Operating,3,T-Bar,Egide Jean,,,,,,,,7,Bottom,Bottom,,,petit-chamonix-qc/
4,Removed,1,T-Bar,Mueller,1963-,660,345,1450,,,,5,Bottom,Top,,,petit-chamonix-qc/
2,Operating,T-Bar,T-Bar,Doppelmayr,1968-,704,720,2000,,,,6,Bottom,Top,,,phoenix-mountain-bc/
2,Operating,Bonanza,Double,Carlevaro-Savio,1965-,1000,100,800,,425,,5,Bottom,Top,1.9,,pico-vt/
3,Operating,Golden Express,High Speed Quad,Yan,1987-,2400,836,4400,800,1000,,15,Bottom,Top,4.4,"Retrofitted in 1997 by Poma with new grips, sheaves, and upgraded terminals",pico-vt/
4,Operating,Knomes Knoll,Triple,Hall,1971-,1800,348,1595,,400,,12,Bottom,Bottom,4,,pico-vt/
5,Operating,Little Pico,Triple,Hall,1980-,1779,635,2201,,460,,14,Bottom,Bottom,4.8,,pico-vt/
6,Operating,Outpost,Double,Carlevaro-Savio,1969-,1200,509,1532,,445,,9,Bottom,Top,3.4,,pico-vt/
7,Operating,Summit Express,High Speed Quad,Yan,1988-,2400,1565,6160,700,1000,,22,Top,Bottom,6.2,"Retrofitted in 1997 by Poma with new grips, sheaves, and upgraded terminals",pico-vt/
8,Removed,Birch Glade,Platter,Poma,1978-,,,,,,,,,,,,pico-vt/
9,Removed,Knome's Knoll,T-Bar,Doppelmayr,1962-1971,,,,,,,,,,,,pico-vt/
10,Removed,Little Pico,T-Bar,Constam,1940-1980,,,,,,,,,,,,pico-vt/
11,Removed,Lower Chair,Double,Stadeli,1962-1988,,,,,,,,,,,,pico-vt/
12,Removed,Pico,T-Bar,Doppelmayr,1981-2002,,,,,,,,,,,,pico-vt/
13,Removed,Summit,Double,Carlevaro-Savio,1965-1988,1000,1268,4200,,492,,,,,8.5,Retrofitted with Doppelmayr chairs and towerheads in the 1980's,pico-vt/
14,Removed,Summit,Platter,Poma,1978-2004,1000,800,2500,,793,,,Bottom,Top,3.2,,pico-vt/
15,Removed,,Double,Hall,1975-,1200,658,3860,,460,,,,,8.4,,pico-vt/
2,Operating,T̩l̩si̬ge,Quad,Doppelmayr,1990-,1800,1463,6380,500,480,196,24,Bottom,Bottom,13.3,,pin-rouge-qc/
3,Operating,Tube,Platter,Egide Jean,,,,,,,,8,Bottom,Bottom,,,pin-rouge-qc/
2,Operating,Pine Creek Express,Quad,Doppelmayr CTEC,2002-,1500,1362,4230,300,475,47,16,Bottom,Bottom,8.9,,pine-creek-wy/
3,Removed,,Single,,-2002,,,,,,,12,,,,,pine-creek-wy/
2,Operating,Chair 1,Triple,Doppelmayr CTEC,2003-,1200,135,820,40,350,,3,Bottom,Bottom,2.3,,pine-knob-mi/
3,Operating,Chair 2,Triple,CTEC,1991-,1500,260,1205,60,425,,5,Bottom,Bottom,2.8,,pine-knob-mi/
4,Operating,Chair 3,Triple,Skytrac,2014-,1700,255,1045,100,435,,5,Bottom,Bottom,2.4,,pine-knob-mi/
5,Operating,Chair 5,Triple,Riblet,1972-,1800,264,2000,100,400,,14,Bottom,Bottom,5,New Skytrac drive/tension terminal in 2010. New Skytrac return 2013,pine-knob-mi/
6,Operating,Chair 6,Triple,Riblet,1972-,1800,264,2050,100,435,,14,Bottom,Bottom,4.7,New Skytrac drive/tension terminal in 2011. Skytrac return,pine-knob-mi/
7,Removed,Chair 3,Triple,Riblet,1972-2014,1800,204,1033,60,435,,,Top,,2.4,,pine-knob-mi/
8,Removed,Chair 4,Double,Riblet,1972-2020,1200,175,1096,30,450,,7,Bottom,Bottom,2.4,,pine-knob-mi/
2,Operating,Hematite,Double,Riblet,1970-,1200,310,1300,,450,56,9,Top,Bottom,2.9,,pine-mountain-mi/
3,Operating,Panorama,Triple,Riblet,,,,,,,115,17,Bottom,Top,,,pine-mountain-mi/
4,Operating,Spruce,Double,Riblet,1965-,1200,346,2850,,450,127,15,Top,Bottom,6.3,,pine-mountain-mi/
5,Removed,Open Slope,Double,Riblet,,,,2350,,,,,Top,Bottom,,,pine-mountain-mi/
2,Operating,Aerial Tramway,Gondola 4,Mueller,1970-,400,1100,3300,,550,,,Bottom,Top,6,,pipestem-wv/
2,Operating,Northface Express,Double,Hall,2002-,,,,,,,15,Bottom,Bottom,,"Relocated from Belleayre, NY",plattekill-mountain-ny/
3,Operating,Sunshine,Triple,Hall,1974-,1800,844,2668,,480,,13,Bottom,Bottom,5.6,,plattekill-mountain-ny/
4,Removed,T-Bar,T-Bar,Hall,-2006,,,,,,,,Bottom,Top,,,plattekill-mountain-ny/
2,Operating,Double,Double,Borvig,1972-,800,295,1178,30,450,,6,Bottom,Bottom,2.6,,pocono-ranch-lands-pa/
2,Operating,B Triple Chairlift,Triple,CTEC,1988-,1800,948,4250,250,500,,16,Bottom,Bottom,8.5,,pomerelle-mountain-id/
3,Operating,E-Z Rider,Triple,Skytrac,2015-,1300,598,2921,200,450,97,11,Bottom,Bottom,6.5,,pomerelle-mountain-id/
4,Removed,B,Double,Stearns Roger,1964-1988,800,800,4400,,,,,,,,,pomerelle-mountain-id/
5,Removed,C Double Chairlift,Double,SLI,1975-,1200,597,3048,,500,,,Bottom,Bottom,6.1,,pomerelle-mountain-id/
2,Operating,Triple,Triple,CTEC,1991-,1800,560,2570,150,450,115,10,Bottom,Bottom,5.7,,porcupine-mountains-mi/
3,Removed,Double,Double,Miner-Denver,1968-2012,900,544,2815,,450,,,Bottom,Top,6.3,CTEC drive terminal added in the 1990s,porcupine-mountains-mi/
4,Removed,T-Bar,T-Bar,Hall,1977-,900,352,1976,,450,,,Bottom,Top,4.4,,porcupine-mountains-mi/
5,Removed,,T-Bar,Doppelmayr,-1991,,,2800,,,,,,,,,porcupine-mountains-mi/
6,Removed,,T-Bar,Doppelmayr,-1991,,,2800,,,,,,,,,porcupine-mountains-mi/
2,Operating,Hidden Lake Express,High Speed Quad,Doppelmayr CTEC,2006-,2400,1293,5763,600,1000,91,17,Top,Bottom,5.8,,powder-mountain-ut/
3,Operating,Paradise,Quad,Garaventa CTEC,1999-,1550,1616,5570,400,475,158,22,Top,Bottom,11.7,,powder-mountain-ut/
4,Operating,Sundown,Quad,Skytrac,2014-,2100,575,1955,200,450,55,9,Bottom,Bottom,4.3,,powder-mountain-ut/
5,Operating,Sunrise,Platter,Poma,1994-,,155,1406,,,40,8,Bottom,Top,,Relocated,powder-mountain-ut/
6,Operating,Timberline,Triple,Thiokol,1971-,1800,780,3300,200,465,144,20,Top,Bottom,7.1,,powder-mountain-ut/
7,Operating,Mary's,Quad,Skytrac,2016-,1500,870,3965,350,450,111,18,Top,Top,8.8,,powder-mountain-ut/
8,Operating,Village,Quad,Skytrac,2016-,1500,582,3727,250,450,105,15,Top,Top,8.3,,powder-mountain-ut/
9,Removed,Hidden Lake,Double,Borvig,1975-2006,1200,1275,5594,,500,,,Top,Bottom,11.2,,powder-mountain-ut/
10,Removed,Sundown,Double,Thiokol,1971-2014,1200,565,1940,,500,82,10,Bottom,Bottom,3.9,,powder-mountain-ut/
2,Operating,Festival,Double,Hall,1964-,800,400,2600,,,,12,Bottom,Top,,,powder-ridge-ct/
3,Operating,Middlefield,Triple,Borvig,2001-,,,,,,,11,Bottom,Bottom,,,powder-ridge-ct/
4,Operating,Mini Field,Double,Hall,1965-,1200,118,1070,,465,,6,Bottom,Bottom,2.3,,powder-ridge-ct/
5,Removed,747,Triple,Borvig,1972-2007,,,,,,,14,Bottom,Bottom,,Converted to a triple in 2001.,powder-ridge-ct/
6,Removed,South,Double,Hall,1963-2001,800,400,2600,,,,,Bottom,Bottom,,,powder-ridge-ct/
2,Operating,Gun Powder,Double,SLI,1977-,1200,220,1000,,400,,5,Bottom,Bottom,2.5,"Riblet drive terminal, sheaves and clips.",powder-ridge-mn/
3,Operating,J-Bar,J-Bar,Borvig,1973-,,,,,,,4,Bottom,Top,,,powder-ridge-mn/
4,Operating,Powder Puff,Quad,Skytrac,2022-,2400,250,1615,125,425,55,9,Bottom,Bottom,3.8,,powder-ridge-mn/
5,Operating,Zonker,Quad,Riblet,1992-,2400,256,1414,100,375,,8,Bottom,Bottom,3.8,,powder-ridge-mn/
6,Removed,Powder Puff,Double,Miner-Denver,1971-2022,,,,,,,8,Top,Bottom,,,powder-ridge-mn/
2,Operating,Easy Rider,Double,Poma,1987-,1200,211,1367,50,450,,,Top,Top,3,,powderhorn-co/
3,Operating,Flat Top Flyer,High Speed Quad,Poma,2015-,2400,1612,6128,700,1000,,,Top,Bottom,6.1,"Relocated from Marble Mountain, NL",powderhorn-co/
4,Operating,West End,Double,Heron-Poma,1972-,1020,1655,7000,250,520,,,Bottom,Bottom,13.5,,powderhorn-co/
5,Removed,Chair 1,Double,Riblet,1966-1987,830,1608,6093,,500,,,,,,,powderhorn-co/
6,Removed,Lion's,Platter,,-2005,,900,,,,,,,,12,,powderhorn-co/
7,Removed,Take Four,Quad,Poma,1987-2015,1800,1602,6216,450,500,,,Top,Top,12.4,Midstation,powderhorn-co/
2,Operating,T-Bar,T-Bar,Hall,2007-,,,,,,,,,,,"Relocated from King Ridge, NH",proctor-nh/
3,Removed,T-Bar,T-Bar,Constam,1970-2007,,,,,,,,,,,Relocated,proctor-nh/
2,Operating,1 Purgatory Village Express,High Speed Six,Doppelmayr,2000-,3000,1511,6309,900,1000,,,Top,,6.3,,purgatory-co/
3,Operating,2 Engineer,Double,Riblet,1969-,950,683,4106,,450,,17,Top,Bottom,9.1,,purgatory-co/
4,Operating,3 Hermosa Park Express,High Speed Quad,Doppelmayr,1995-,2400,1173,5875,500,1000,121,,Top,Bottom,5.9,,purgatory-co/
5,Operating,4 Twilight,Double,Riblet,1976-,1400,965,4842,,500,,,Top,Bottom,9.7,Midstation,purgatory-co/
6,Operating,5 Grizzly,Double,Riblet,1980-,1200,1234,5686,,500,,32,Top,Bottom,11.4,Midstation,purgatory-co/
7,Operating,6 Needles,Triple,Poma,1982-,1800,1482,5798,,475,,,Top,Bottom,12.2,,purgatory-co/
8,Operating,7 Graduate,Triple,Poma,1982-,1800,154,1050,,350,,6,Bottom,Bottom,3,,purgatory-co/
9,Operating,8 Legends Express,High Speed Quad,Leitner-Poma,2015-,2200,1484,4985,700,1000,,,Top,Dual,5,,purgatory-co/
10,Operating,9 Columbine,Triple,Poma,1985-,1300,76,545,,250,,5,Bottom,Bottom,2.2,,purgatory-co/
11,Removed,1 Spud Mountain,Double,Riblet,1965-2000,950,1486,5960,,500,,,,,11.9,,purgatory-co/
12,Removed,3 Grizzly Peak,Double,Riblet,1972-1995,1180,1178,6298,200,500,,,,,12.6,,purgatory-co/
13,Removed,8 Legends,Triple,Poma,1985-2015,1800,1484,5045,,450,,,Top,Top,11.2,Midstation,purgatory-co/
14,Removed,,Platter,Poma,1965-,800,160,610,,420,,,,,1.5,,purgatory-co/
