1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
10,Removed,Lenawee Mountain,Triple,Poma,2001-2022,1800,1017,4012,300,500,161,13,Bottom,Bottom,8,,arapahoe-basin-co/
11,Removed,Lenawee,Double,Heron-Poma,1974-2001,1150,1005,4045,,500,,,,,8.1,,arapahoe-basin-co/
12,Removed,Molly Hogan,Double,Yan,1978-2020,1200,62,415,,350,17,4,Bottom,Bottom,2,,arapahoe-basin-co/
13,Removed,Norway,Double,Yan,1978-2018,1200,910,3780,,500,151,17,Bottom,Bottom,7.6,,arapahoe-basin-co/
14,Removed,Pallavicini,Double,Yan,1978-2020,1200,1329,3520,,525,132,17,Bottom,Bottom,6.7,,arapahoe-basin-co/
15,Removed,Single,Single,,1947-1978,,,,,,,,,,,,arapahoe-basin-co/
16,Removed,,Platter,Poma,1964-1978,600,72,580,,,,,,,,,arapahoe-basin-co/
17,Removed,,Platter,Poma,1969-1978,475,645,2188,,780,,,,,2.8,,arapahoe-basin-co/
18,Removed,,Platter,Poma,1969-1978,600,152,712,,420,,,,,1.7,,arapahoe-basin-co/
19,Removed,,Platter,Poma,1968-1978,,220,900,,,,,,,,,arapahoe-basin-co/
20,Removed,,Platter,Poma,1966-1978,400,424,1730,,780,,,,,2.2,,arapahoe-basin-co/
21,Removed,,Platter,Poma,1965-1978,400,380,1320,,450,,,,,2.9,,arapahoe-basin-co/
22,Removed,,Platter,Poma,1963-1978,400,60,350,,,,,,,,,arapahoe-basin-co/
23,Removed,,Platter,Poma,1967-1978,600,250,1075,,600,,,,,1.8,,arapahoe-basin-co/
2,Operating,Chair 1,Double,Riblet,1980-,1200,662,2364,,400,53,9,Bottom,Top,5.9,"Shut down in 1996, reopened in 2006",arctic-valley-ak/
3,Operating,Chair 2,Double,Riblet,1978-,1200,1214,4544,,500,120,20,Bottom,Top,9.1,,arctic-valley-ak/
4,Operating,T-Bar,T-Bar,,1961-,,984,2802,,,,8,Bottom,Bottom,,,arctic-valley-ak/
2,Operating,Arizona Gondola,Chondola 6/8,Leitner-Poma,2020-,1195,1972,6441,1200,1000,42,17,Top,Bottom,6.4,,arizona-snowbowl-az/
3,Operating,Aspen,Double,Riblet,1986-,554,242,1591,,330,,8,Top,Bottom,4.8,Relocated from Agassiz,arizona-snowbowl-az/
4,Operating,Grand Canyon Express,High Speed Six,Leitner-Poma,2016-,1800,1519,5796,900,1000,61,16,Top,Dual,5.8,,arizona-snowbowl-az/
5,Operating,Hart Prarie,Quad,Doppelmayr,2017-,2400,539,2661,300,375,139,12,Top,Top,7.1,,arizona-snowbowl-az/
6,Operating,Humphrey's Peak,Quad,Skytrac,2015-,1500,775,2915,200,450,,13,Bottom,Bottom,6.5,,arizona-snowbowl-az/
7,Operating,Sunset,Triple,CTEC,1983-,1800,649,2675,,450,,12,Bottom,Bottom,5.9,,arizona-snowbowl-az/
8,Removed,Hart Prarie,Double,Riblet,1982-2017,1200,657,3226,,400,,19,Top,Bottom,8.1,,arizona-snowbowl-az/
9,Removed,Agassiz,Double,Riblet,1961-1986,,,,,,,,,,,,arizona-snowbowl-az/
10,Removed,Agassiz,Triple,CTEC,1986-2020,1200,1986,6455,,500,172,28,Bottom,Bottom,12.9,,arizona-snowbowl-az/
2,Operating,Glenn,T-Bar,Doppelmayr,2019-,,,,,,,11,Bottom,Top,,"Relocated from Le Relais, QC",ascutney-vt/
3,Removed,North Peak Express,High Speed Quad,Garaventa CTEC,2000-2012,2000,1673,5365,700,1000,,,Bottom,,5.4,,ascutney-vt/
4,Removed,Novice,Triple,CTEC,1984-2014,800,76,905,,300,,,Bottom,Bottom,3,,ascutney-vt/
5,Removed,Snowdance,Triple,CTEC,1986-2014,1200,1438,4650,,450,,,Bottom,Bottom,10.3,Midstation,ascutney-vt/
6,Removed,Summit,Double,Hall,1963-1986,1200,1430,4700,,,,,,,,,ascutney-vt/
7,Removed,Sunrise,Double,Hall,1970-2014,850,434,1947,,480,,,Bottom,Bottom,4.1,,ascutney-vt/
8,Removed,Village,Triple,CTEC,1984-2014,1500,280,2170,,400,,,Bottom,Bottom,5.4,,ascutney-vt/
9,Removed,,T-Bar,Hall,1963-1995,1200,100,576,,,,,,,,,ascutney-vt/
2,Operating,Cloud Nine,High Speed Quad,Poma,1999-,1200,1116,4743,400,1100,,,Top,Dual,4.3,,aspen-highlands-co/
3,Operating,Deep Termerity,Triple,Leitner-Poma,2005-,1085,1708,3683,300,500,,12,Top,Top,7.4,,aspen-highlands-co/
4,Operating,Exhibition,High Speed Quad,Poma,1994-,1800,1914,8793,700,1100,,,Top,Dual,8,,aspen-highlands-co/
5,Operating,Five Trees,Double,Poma,2000-,600,743,4171,100,525,,,Bottom,Bottom,7.9,Private Lift,aspen-highlands-co/
6,Operating,Loge Peak,High Speed Quad,Poma,1994-,1800,1620,6610,600,1100,,,Bottom,Dual,6,,aspen-highlands-co/
7,Operating,Thunderbowl,Triple,Poma,1998-,1200,1450,4194,250,500,,,Top,Top,8.4,,aspen-highlands-co/
8,Removed,Cloud Nine,Double,Riblet,1965-1999,900,850,2685,,450,,,Bottom,Top,6,,aspen-highlands-co/
9,Removed,Exhibition,Double,Riblet,-1994,,1000,3800,,,,,,,,,aspen-highlands-co/
10,Removed,Exhibition II,Double,Riblet,1972-1999,1200,842,4883,200,450,,,,,10.9,,aspen-highlands-co/
11,Removed,Golden Horn,Platter,Poma,1969-1998,650,670,2612,,900,,,,,2.9,,aspen-highlands-co/
12,Removed,Grand Prix,Platter,Poma,1969-,600,1045,4780,,900,,,,,5.3,,aspen-highlands-co/
13,Removed,Half Inch,Platter,Poma,1967-1985,600,,,,350,,,,,,,aspen-highlands-co/
14,Removed,Little Poma,Platter,Poma,1964-1985,400,107,550,,,,,,,,,aspen-highlands-co/
15,Removed,Loges Peak,Double,Riblet,1972-1994,1200,702,3470,150,450,,,,,7.7,,aspen-highlands-co/
16,Removed,Nugget,Double,Riblet,1975-1998,1200,606,1787,,450,,,,,4,,aspen-highlands-co/
17,Removed,Olympic,Double,Riblet,1970-1999,900,1258,4574,,500,,,,,9.1,,aspen-highlands-co/
18,Removed,Skiwee,Double,Riblet,1985-1999,1200,97,518,,300,,,,,1.7,,aspen-highlands-co/
19,Removed,Smuggler,Double,Riblet,1966-1998,750,302,1600,,450,,,,,3.6,,aspen-highlands-co/
20,Removed,Thunderbowl,Double,Riblet,-1998,,900,3000,,,,,,,,,aspen-highlands-co/
2,Operating,Ajax Express,High Speed Quad,Leitner-Poma,2003-,2400,1120,4689,500,1000,,15,Top,Dual,4.7,,aspen-mountain-co/
